11,,,,,,,,
Public,,,,,,,,
Private,,,,,,,,
Unverified ,,,,,,,,
,,,,,,,,
ULT_DUNS_NBR,ULT_SUPPLIER_NM,Revenue,SG&A,EBIT,SG&A %,Profit %,SG&A & P,OEM(s)
201516002,MAGNA INTERNATIONAL INC,41790000000,-2170000000,"1,790,000,000",-5.19%,4.28%,-0.91%,"General Motors, Ford, Stellantis, Tesla, Honda, Toyota"
175592476,LEAR CORP,"23,259,100","707,600","725,900",3.04%,3.12%,6.16%,"General Motors, Ford, BMW, Volkswagen"
688279996,LG CHEM LTD,"47,232,772,000","4,124,963,000","782,854,000",8.73%,1.66%,10.39%,"General Motors, Toyota, Tesla"
44766678,AMERICAN AXLE & MANUFACTURING,,,,,,0.00%,"General Motors, Ford, Stellantis"
325919421,ZEPPELIN STIFTUNG,,,,,,0.00%,
275124311,FAURECIA,"3,900,000,000","-645,280,000","530,000,000",-16.55%,13.59%,-2.96%,"Volkswagen, BMW, Ford, General Motors, Stellantis, Renault"
43898092,DPH HOLDINGS CORP,,,,,,0.00%,"General Motors, Ford, Stellantis, Volkswagen, Hyundai"
318280815,ROBERT BOSCH STIFTUNG GMBH,,,,,,0.00%,
11298072,FLEX-N-GATE LLC,,,,,,0.00%,
864421750,NEXTEER AUTOMOTIVE GROUP LTD,"4,420,000,000","-177,850,000","170,000,000",-4.02%,3.85%,-0.18%,"General Motors, Ford, Stellantis, BMW, Volkswagen, Renault, BYD"
147964571,CLEVELAND CLIFFS INC,"18,610,000,000","-543,000,000","-1,410,000,000",-2.92%,-7.58%,-10.49%,"General Motors, Ford, Stellantis, Toyota, Scout Motors"
275242212,VALEO,"21,040,000,000","-1,007,000,000","570,000,000",-4.79%,2.71%,-2.08%,"Volkswagen, BMW, Mercedes, Renault, Volvo, General Motors, Tesla, Hyundai, Honda, Stellantis, Toyota, Ford, Kia, Nissan, BYD"
209831544,LINAMAR CORP,"10,090,000,000","-572,620,000","550,000,000",-5.68%,5.45%,-0.22%,"General Motors, Ford, Stellantis, Volkswagen, Tesla"
